<p.120>
액션 태그의 종류
액션 태그		형식				설명
forward		<jsp:forward ... />	다른 페이지로의 이동과 같은 페이지 흐름을 제어한다. <p.121>
include		<jsp:include ... />		외부 페이지의 내용을 포함하거나 페이지를 모듈화 한다. <p.125>
useBean		<jsp:useBean ... />	JSP 페이지에 자바빈즈를 설정한다. <p.134>
setProperty		<jsp:setProperty ... />	자바빈즈의 프로퍼티 값을 설정한다. <p.141> (프로퍼티 = 메서드? -> set메서드?)
getProperty		<jsp:getProperty ... />	자바빈즈의 프로퍼티 값을 얻어온다. <p.144> (프로퍼티 = 메서드? -> get메서드?)
param		<jsp:param ... />		<jsp:forward>, <jsp:include>, <jsp:plugin>태그에 인자를 추가한다.<p.129>
plugin		<jsp:plugin ... />		웹 브라우저에 자바 애플릿을 실행한다. 자바 플러그인에 대한 OBJECT 또는 EMBED 태그를 만드는 브라우저 별 코드를 생성한다.
element		<jsp:element ... />	동정 XML 요소를 설정한다.
attribute		<jsp:attribute ... />	동적으로 설정된 XML 요소의 속성을 설정한다.
body			<jsp:body ... />		동적으로 정의된 XML 요소의 몸체를 설정한다.
text			<jsp:text ... />		JSP 페이지 및 문서에서 템플릿 텍스트를 작성한다.
